,ticker,name,stock_list
10,1011,철강금속,"['005490', '010130', '004020', '006110', '002710', '100090', '000670', '103140', '001430', '016380', '002240', '460860', '058650', '306200', '058430', '018470', '008350', '001780', '084010', '001940', '092790', '009160', '005010', '104700', '460850', '139990', '004560', '014280', '001230', '008260', '012800', '001080', '000970', '025820', '069460', '024090', '004890', '032560', '019440', '009190', '007280', '008970', '021050', '002220', '026940', '071090', '155660', '069730', '008420', '012160', '133820', '002690', '001770']"
11,1012,기계,"['034020', '241560', '042700', '018880', '112610', '042670', '017800', '079550', '267270', '082740', '017960', '007460', '074610', '077970', '071970', '002900', '004380', '000490', '015590', '017370', '010820', '011700', '100840', '210540', '017550', '120030', '092440', '010660', '058730', '145210', '085310', '004450', '000850', '012600', '049800', '119650', '006570', '012200', '091090', '025890', '009310']"
12,1013,전기전자,"['005930', '373220', '000660', '006400', '003670', '066570', '009150', '361610', '011070', '034220', '010120', '272210', '267260', '000990', '020150', '007660', '298040', '248070', '336260', '001440', '108320', '353200', '336370', '195870', '007340', '192650', '090460', '004490', '009450', '025540', '033240', '011930', '097520', '103590', '001820', '007810', '092220', '029530', '322000', '004710', '017900', '017040', '011690', '009470', '008700', '005680', '000500', '109070', '020760', '019490', '033180', '004770', '005870', '019180', '000300', '015260', '011230', '008110', '007610', '006340', '009140', '001210', '014910', '044380']"
13,1014,의료정밀,"['137310', '145720', '281820', '029460', '003160', '105840', '372910', '025560']"
14,1015,운수장비,"['005380', '000270', '012330', '329180', '042660', '010140', '012450', '047810', '010620', '064350', '204320', '005850', '003620', '011210', '009900', '271940', '064960', '010690', '200880', '000430', '075580', '003570', '009680', '010580', '015230', '092200', '024900', '033530', '214330', '023800', '010100', '004100', '023000', '308170', '016740', '023810', '013520', '013870', '075180', '018500', '041650', '021820', '009320', '006660', '002920', '378850', '143210', '092780', '090080', '002880', '123700', '001380', '001620', '010770', '005030', '000040', '012280', '001420', '033250']"
15,1016,유통업,"['028260', '047050', '008770', '282330', '007070', '111770', '081660', '139480', '023530', '004170', '026960', '001740', '069960', '009240', '001120', '018670', '011810', '031430', '381970', '001530', '057050', '453340', '077500', '017940', '000680', '093230', '005390', '122900', '010600', '011760', '452260', '037710', '000050', '071840', '002810', '450140', '001250', '339770', '123690', '128820', '006370', '004080', '002700', '067830', '006880', '227840', '101140', '004060', '005360', '007110', '004270', '003010', '069640', '009810', '025530', '005320', '000760', '118000', '013000', '005110', '002420', '002870', '010420', '008600', '088790']"
16,1017,전기가스업,"['015760', '036460', '004690', '005090', '017390', '071320', '117580', '267290', '034590', '003480']"
17,1018,건설업,"['000720', '047040', '051600', '006360', '375500', '001470', '294870', '097230', '126720', '001880', '003070', '002990', '039570', '002780', '028100', '009410', '005960', '013580', '002460', '014790', '001260', '013360', '010960', '004960', '013700', '002410', '023960', '034300', '010400']"
18,1019,운수창고업,"['003490', '011200', '086280', '180640', '028670', '000120', '089590', '020560', '272450', '005880', '091810', '003280', '298690', '002320', '004360', '044450', '005430', '009070', '004140', '000650', '129260', '014130', '009180', '001140', '084670']"
19,1020,통신업,"['017670', '030200', '032640', '126560', '006490']"
20,1021,금융업,"['105560', '055550', '032830', '003550', '000810', '323410', '086790', '138040', '034730', '316140', '024110', '009540', '402340', '005830', '377300', '088980', '267250', '006800', '078930', '029780', '005940', '006260', '016360', '071050', '001450', '039490', '004990', '008930', '138930', '001040', '088350', '000150', '175330', '006040', '004800', '139130', '003690', '009970', '000240', '001800', '003030', '006120', '085620', '003540', '082640', '007700', '192400', '000640', '383800', '000070', '000400', '003530', '001720', '003470', '000370', '001200', '123890', '012630', '060980', '363280', '027410', '005810', '229640', '072710', '034830', '030610', '026890', '006220', '096760', '001510', '036530', '001500', '084690', '024720', '030210', '006840', '005440', '002020', '008060', '001270', '107590', '000140', '000540', '015860', '012320', '016610', '007540', '007860', '013570', '000320', '004150', '003460', '001750', '380440', '044820', '244920', '005740', '000590', '001290', '009440', '006200']"
21,1024,증권,"['006800', '005940', '016360', '039490', '003540', '003530', '001720', '003470', '001200', '030610', '001510', '001500', '030210', '001270', '016610', '003460', '001750', '001290']"
22,1025,보험,"['032830', '000810', '005830', '001450', '088350', '003690', '085620', '082640', '000400', '000370', '000540']"
23,1026,서비스업,"['035420', '035720', '018260', '352820', '259960', '028050', '326030', '036570', '307950', '251270', '035250', '021240', '052690', '030000', '012750', '032350', '012510', '114090', '089860', '181710', '395400', '365550', '214320', '330590', '023590', '348950', '039130', '192080', '005250', '068400', '030190', '293940', '034120', '034310', '284740', '403550', '357120', '210980', '015540', '286940', '448730', '002030', '451800', '432320', '012030', '079160', '037270', '088260', '037560', '053210', '036420', '002150', '130660', '095720', '053690', '102260', '334890', '035510', '016710', '377190', '095570', '020120', '019680', '317400', '015360', '404990', '417310', '002620', '068290', '070960', '000700', '031440', '267850', '058850', '094280', '000180', '400760', '350520', '058860', '396690', '078000', '035000', '031820', '016880', '357430', '338100', '023350', '003560', '357250', '100220', '011420', '012170', '145270', '155900', '007120', '072130', '204210', '015020', '030790', '140910']"
