Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,3.575,3.6,3.5025,3.51,3.220431,46804400
2012-01-04,3.5125,3.565,3.48,3.55,3.25713,34737200
2012-01-05,3.5325,3.695,3.5175,3.6775,3.374112,56354800
2012-01-06,3.675,3.6775,3.5925,3.635,3.335118,53325200
2012-01-09,3.6375,3.705,3.61,3.635,3.335118,50824400
2012-01-10,3.69,3.6925,3.595,3.62,3.321355,54632800
2012-01-11,3.5875,3.62,3.5325,3.5475,3.254836,48427200
2012-01-12,3.555,3.5575,3.4475,3.525,3.234193,65236400
2012-01-13,3.5,3.5075,3.415,3.4325,3.149323,50430000
2012-01-17,3.485,3.485,3.375,3.38,3.101155,62717600
2012-01-18,3.445,3.5225,3.4275,3.495,3.206668,63267600
2012-01-19,3.525,3.5925,3.4875,3.5875,3.291536,60831200
2012-01-20,3.5825,3.625,3.5425,3.555,3.261718,54627200
2012-01-23,3.5575,3.655,3.5125,3.6525,3.351174,56279200
2012-01-24,3.6275,3.75,3.625,3.735,3.426868,73092000
2012-01-25,3.635,3.7225,3.53,3.7125,3.406224,127415200
2012-01-26,3.7675,3.81,3.6575,3.6775,3.374112,79967200
2012-01-27,3.655,3.7475,3.625,3.7275,3.419987,44999600
2012-01-30,3.6625,3.7175,3.6075,3.7,3.394755,39907600
2012-01-31,3.71,3.7125,3.6275,3.6925,3.387874,35790000
2012-02-01,3.735,3.775,3.6825,3.7325,3.424574,42802000
2012-02-02,3.7525,3.8875,3.715,3.8725,3.553025,69623600
2012-02-03,3.93,3.9875,3.9225,3.955,3.628717,49523200
2012-02-06,3.935,3.94,3.89,3.925,3.601193,27886800
2012-02-07,3.93,3.9575,3.865,3.935,3.610369,41029600
2012-02-08,3.935,4.155,3.915,4.0775,3.741112,84761200
2012-02-09,4.1275,4.15,4.0675,4.075,3.738818,56194400
2012-02-10,4.035,4.05,3.9525,3.975,3.647069,44026800
2012-02-13,4.075,4.09,3.955,4.0375,3.704412,61066800
2012-02-14,4.0375,4.095,4.0025,4.06,3.725056,45375600
2012-02-15,4.0975,4.225,4.0325,4.0425,3.709,111085600
2012-02-16,3.765,4.145,3.75,4.1125,3.773226,188858800
2012-02-17,4.115,4.1425,3.925,3.9625,3.6356,102036000
2012-02-21,3.96,4.08,3.9525,3.9825,3.653949,51817600
2012-02-22,3.9625,4.06,3.95,3.955,3.628717,49243200
2012-02-23,3.9625,4.0,3.9,3.9775,3.649362,32396800
2012-02-24,3.99,3.995,3.93,3.9475,3.621837,36666800
2012-02-27,3.8975,3.915,3.8125,3.8675,3.548436,74526800
2012-02-28,3.8675,3.9125,3.7925,3.8325,3.516323,69988400
2012-02-29,3.845,3.91,3.785,3.7875,3.475037,68919600
2012-03-01,3.8025,3.8575,3.7875,3.8125,3.497974,44994400
2012-03-02,3.8,3.9,3.8,3.845,3.527792,68407600
2012-03-05,3.8175,3.825,3.6875,3.715,3.408517,51484800
2012-03-06,3.6725,3.7025,3.615,3.68,3.376405,47140000
2012-03-07,3.7,3.7175,3.65,3.7025,3.397049,44198400
2012-03-08,3.7125,3.7525,3.6925,3.715,3.408517,43085200
2012-03-09,3.725,3.7525,3.685,3.705,3.399343,36783600
2012-03-12,3.72,3.745,3.6375,3.6475,3.346587,29994800
2012-03-13,3.6625,3.7175,3.645,3.6975,3.392462,55328800
2012-03-14,3.6975,3.705,3.58,3.5925,3.296124,73570800
2012-03-15,3.6025,3.665,3.59,3.645,3.344293,38238000
2012-03-16,3.6475,3.665,3.6275,3.65,3.34888,42834000
2012-03-19,3.67,3.6875,3.6425,3.66,3.358056,40540000
2012-03-20,3.64,3.64,3.5675,3.6,3.303006,44961600
2012-03-21,3.6,3.6475,3.56,3.615,3.316768,46784000
2012-03-22,3.5875,3.64,3.5775,3.61,3.312181,42537200
2012-03-23,3.6,3.6475,3.575,3.6375,3.337411,31545600
2012-03-26,3.6725,3.6975,3.6375,3.68,3.376405,28860000
