티커,BPS,PER,PBR,EPS,DIV,DPS
003830,635611,3.55,0.17,29768,0.71,750
016090,5480,3.63,0.38,574,5.28,110
069460,1456,19.78,1.55,114,0.0,0
118000,1172,0.0,0.42,0,0.0,0
192080,43874,0.0,0.97,0,1.41,600
012510,15301,45.56,2.01,676,0.4,123
004830,5862,84.33,2.26,157,0.34,45
004835,0,0.0,0.0,0,0.58,50
024900,2608,11.93,2.23,487,0.0,0
145720,43354,12.36,2.85,9980,0.24,300
002150,7986,170.64,1.0,47,3.49,280
460850,0,0.0,0.0,0,0.0,0
460860,0,0.0,0.0,0,0.0,0
001230,34362,2.53,0.33,4474,4.42,500
023450,14281,11.68,2.44,2983,2.51,875
004140,2685,117.53,0.74,17,0.0,0
007590,12112,11.74,0.53,546,3.9,250
005960,25542,3.56,0.24,1737,8.08,500
005965,0,0.0,0.0,0,2.11,550
026960,15510,10.46,1.15,1701,4.1,730
002210,1872,0.0,3.08,0,0.0,0
102260,7735,6.4,0.59,714,4.38,200
000640,157100,52.63,0.6,1784,1.6,1500
170900,78380,41.05,0.83,1576,1.08,700
028100,15999,0.0,0.76,0,4.1,500
282690,27514,6.47,0.41,1747,8.85,1000
001520,4062,0.0,0.25,0,3.97,40
001527,0,0.0,0.0,0,1.5,150
084670,28704,0.0,0.46,0,0.0,0
082640,12252,7.85,0.3,475,0.0,0
001525,0,0.0,0.0,0,1.69,90
008970,740,27.39,1.22,33,0.0,0
092780,9239,27.63,0.59,198,1.1,60
049770,45847,6.43,0.66,4711,2.31,701
018500,1314,4.34,1.6,485,0.0,0
006040,69698,6.34,0.52,5748,3.02,1100
030720,13454,6.81,0.67,1328,2.77,250
014820,25113,14.22,1.4,2472,1.71,600
014825,0,0.0,0.0,0,2.76,650
163560,15353,11.05,0.4,561,1.94,120
004890,192642,5.8,0.3,10085,5.13,3000
002690,7970,10.9,0.23,169,0.54,10
000020,13165,13.13,0.73,736,1.86,180
000150,132422,0.0,0.8,0,1.9,2000
000157,0,0.0,0.0,0,2.07,2000
241560,50136,8.32,1.07,6421,2.53,1350
034020,11146,0.0,1.46,0,0.0,0
000155,0,0.0,0.0,0,3.7,2050
336260,7988,518.09,3.05,47,0.0,0
33626K,0,0.0,0.0,0,0.0,0
33626L,0,0.0,0.0,0,0.0,0
016740,5889,15.13,0.58,224,2.36,80
192650,6133,11.77,1.85,965,1.76,200
024090,28881,2.85,0.4,4097,7.71,900
003160,5841,12.46,1.2,564,1.42,100
092200,2625,60.89,1.83,79,0.0,0
013570,13814,0.0,0.44,0,1.97,120
210540,21781,8.13,0.6,1618,1.9,250
115390,11990,0.0,0.48,0,33.97,1953
032350,3223,0.0,4.63,0,0.0,0
089860,35333,10.36,0.76,2577,3.37,900
000400,1451,0.0,1.17,0,0.0,0
023530,338431,0.0,0.21,0,4.61,3300
020150,31661,54.42,1.63,950,0.58,300
280360,228909,17.06,0.46,6160,2.19,2300
004000,90075,10.42,0.66,5738,5.85,3500
286940,28084,13.2,0.95,2015,2.63,700
004990,100489,10.35,0.25,2387,6.07,1500
00499K,0,0.0,0.0,0,4.13,1550
005300,150133,10.47,0.89,12754,2.47,3300
005305,0,0.0,0.0,0,5.02,3305
011170,404799,77.45,0.33,1716,2.63,3500
071840,55987,0.0,0.18,0,3.01,300
027740,777,72.38,1.49,16,0.0,0
001080,79971,19.0,0.52,2168,0.61,250
138040,27050,5.91,1.84,8406,0.21,105
090370,3160,0.0,0.8,0,0.0,0
