티커,BPS,PER,PBR,EPS,DIV,DPS
363280,42418,2.57,0.16,2579,2.26,150
36328K,0,0.0,0.0,0,2.27,175
091810,371,0.0,7.36,0,0.0,0
004870,1505,0.77,0.36,697,0.0,0
005690,1328,37.42,5.13,182,0.0,0
036580,7532,0.0,0.47,0,1.41,50
004720,13118,1.35,0.46,4498,0.0,0
028670,8404,3.59,0.54,1267,3.3,150
010820,1183,93.78,2.93,37,0.0,0
016800,52783,47.45,0.58,646,3.59,1100
001020,1297,0.0,0.66,0,0.0,0
090080,755,12.61,1.85,111,0.0,0
010770,7178,0.0,0.45,0,4.6,150
058430,57026,14.95,0.99,3785,1.55,875
047050,32288,18.24,2.7,4780,1.15,1000
003670,31922,278.0,13.3,1527,0.07,300
017810,11212,0.0,0.88,0,1.03,102
103140,67365,5.31,0.5,6395,2.95,1000
005810,99583,4.53,0.35,7614,3.77,1300
009810,685,42.5,0.87,14,0.0,0
086790,124935,3.22,0.3,11803,8.82,3350
293480,15515,10.41,0.94,1405,3.49,510
039130,7960,0.0,6.36,0,0.0,0
352820,66995,189.33,3.57,1265,0.0,0
071090,7380,5.89,0.46,574,0.59,20
019490,1353,0.0,1.83,0,0.0,0
000080,16906,15.58,1.15,1250,4.88,950
000087,0,0.0,0.0,0,6.57,1000
000140,26118,6.08,0.33,1427,5.77,500
000145,0,0.0,0.0,0,4.82,550
036460,118693,1.4,0.2,17317,0.0,0
005430,110940,22.48,0.38,1888,0.0,0
071050,145614,4.65,0.35,10900,4.54,2300
071055,0,0.0,0.0,0,5.98,2362
010040,6218,134.57,0.5,23,1.45,45
025540,84382,11.75,0.66,4723,1.26,700
010100,9592,4.09,0.47,1095,1.56,70
004090,13490,10.52,0.71,906,1.15,110
002200,7340,5.43,0.39,531,2.77,80
002960,86889,10.85,2.57,20555,8.07,18000
000240,40622,6.42,0.28,1749,5.79,650
123890,7620,3.5,0.41,885,7.1,220
015760,63158,0.0,0.29,0,0.0,0
006200,3242,2.93,0.33,369,4.62,50
023350,14302,16.25,0.41,365,1.69,100
025890,2671,17.79,1.03,154,0.0,0
000970,15912,12.11,0.43,559,5.91,400
104700,20372,2.92,0.29,2055,5.0,300
017960,9394,28.96,1.45,471,0.95,130
161890,29024,0.0,1.94,0,0.89,500
024720,33447,0.0,0.45,0,2.01,300
161390,72196,6.91,0.54,5658,2.05,800
034830,4503,11.78,0.28,106,7.21,90
007280,3322,2.83,0.58,687,0.0,0
047810,14648,38.93,3.23,1215,0.53,250
123690,1409,274.32,7.2,37,0.0,0
003350,13033,27.76,2.37,1113,0.32,100
011500,9977,26.47,1.49,561,0.81,120
002390,27596,17.38,0.49,776,2.97,400
053690,17414,9.82,1.38,2449,2.29,550
042700,4008,51.92,12.16,939,0.41,200
008930,10673,34.8,3.29,1010,0.57,200
128940,70131,47.23,4.48,6648,0.16,500
009240,28093,0.0,2.06,0,1.38,800
020000,60819,3.43,0.32,5599,3.91,750
003680,9257,19.88,0.54,250,0.0,0
105630,13687,9.6,1.53,2182,2.39,500
069640,1408,0.0,1.66,0,0.0,0
016450,10535,8.19,0.42,543,5.62,250
010420,2311,15.11,0.6,92,1.8,25
009180,3726,2.83,0.67,882,2.8,70
213500,31224,3.32,0.33,3104,6.79,700
014680,70184,12.69,2.55,14099,1.17,2100
004710,9749,13.65,0.66,468,1.56,100
004150,13522,2.44,0.21,1144,4.29,120
025750,1903,0.0,0.51,0,0.0,0
004960,63050,1.87,0.12,3928,4.09,300
011700,2861,0.0,1.5,0,0.23,10
001750,36091,4.78,0.25,1858,9.0,800
001755,0,0.0,0.0,0,7.47,850
018880,4190,251.05,2.28,38,3.77,360
009420,3319,4470.0,6.73,5,0.0,0
014130,8649,9.09,0.61,581,2.46,130
300720,20910,10.62,0.58,1138,4.8,580
002220,7065,0.0,0.42,0,1.01,30
006390,18827,8.41,0.88,1971,3.62,600
003300,46069,3.99,0.25,2904,6.91,800
051600,27016,14.98,1.23,2226,3.91,1305
052690,14284,141.31,4.67,472,0.42,283
130660,2947,16.07,2.72,499,2.84,228
002320,96471,6.49,0.22,3290,2.81,600
003480,13021,6.11,0.26,563,2.91,100
180640,37047,4.3,1.18,10143,0.39,170
18064K,0,0.0,0.0,0,0.79,195
005110,275,0.0,1.08,0,0.0,0
009460,1851,47.9,0.54,21,1.99,20
372910,4596,15.08,1.09,333,0.0,0
000880,70822,1.82,0.36,14169,2.91,750
00088K,0,0.0,0.0,0,5.78,800
452260,0,0.0,0.0,0,0.0,0
45226K,0,0.0,0.0,0,0.0,0
088350,9020,2.6,0.25,855,0.0,0
000370,1426,2.14,2.78,1856,0.0,0
009830,47292,18.79,0.74,1873,0.0,0
009835,0,0.0,0.0,0,0.0,0
272210,10697,0.0,1.25,0,1.87,250
012450,56612,27.27,1.91,3964,0.93,1000
042660,6945,0.0,5.73,0,0.0,0
000885,0,0.0,0.0,0,2.69,800
003530,7273,0.0,0.34,0,0.0,0
003535,0,0.0,0.0,0,0.0,0
195870,26311,6.68,2.38,9376,1.44,900
101530,9537,0.0,0.58,0,3.62,200
143210,9053,0.0,0.34,0,0.0,0
000720,69028,9.64,0.51,3637,1.71,600
000725,0,0.0,0.0,0,1.25,650
453340,0,0.0,0.0,0,0.0,0
086280,183094,5.41,0.94,31729,3.32,5700
064350,13930,15.89,2.07,1812,0.0,0
079430,21802,0.0,0.37,0,0.0,0
012330,410816,8.49,0.56,27163,1.74,4000
010620,53525,0.0,1.62,0,0.0,0
069960,209760,9.9,0.31,6593,1.99,1300
004560,34806,7.24,0.36,1715,0.81,100
004310,3144,0.0,1.29,0,0.74,30
017800,28992,22.27,1.48,1924,1.17,500
307950,53924,36.83,2.84,4154,0.75,1140
011210,124563,23.35,0.46,2463,1.22,700
004020,142260,4.49,0.24,7736,2.88,1000
005440,20860,5.55,0.17,640,5.91,210
005380,407147,6.48,0.45,28521,3.79,7000
005387,0,0.0,0.0,0,6.77,7100
005389,0,0.0,0.0,0,6.96,7050
005385,0,0.0,0.0,0,6.88,7050
001500,38617,3.14,0.22,2654,6.59,550
011760,36053,3.23,0.59,6554,2.84,600
227840,25341,2.89,0.43,3810,4.55,500
126560,6836,0.0,0.44,0,3.0,90
001450,53896,3.92,0.52,7099,7.06,1965
057050,171103,5.66,0.25,7541,6.09,2600
093240,2200,5.79,0.69,262,0.0,0
003010,10052,0.0,0.56,0,1.07,60
111110,14510,2.77,0.56,2932,3.7,300
008770,14543,0.0,6.11,0,0.22,200
008775,0,0.0,0.0,0,0.47,250
002460,39046,4.62,0.26,2229,4.86,500
378850,4879,6.3,0.86,668,1.19,50
241590,8870,0.0,0.9,0,0.56,45
006060,6884,198.53,0.49,17,5.57,188
013520,3752,27.38,0.46,63,2.9,50
010690,10839,5.71,1.19,2254,0.78,100
133820,2628,0.0,0.7,0,0.0,0
010660,6506,19.19,0.53,180,0.87,30
000850,156939,2.04,0.22,17039,7.19,2500
016580,21845,9.57,0.69,1567,2.0,300
032560,19636,3.15,0.38,2380,2.67,200
004800,128334,77.48,0.47,786,7.39,4500
094280,5956,9.68,2.04,1254,6.18,750
298040,104660,170.37,1.79,1097,0.0,0
298050,158341,15.08,2.67,28053,3.55,15000
298020,283313,117.83,1.12,2686,3.16,10000
298000,36068,0.0,2.66,0,0.0,0
093370,3882,11.48,3.1,1047,0.17,20
081660,31226,6.56,1.2,5720,4.21,1580
005870,11026,7.67,0.49,707,0.0,0
079980,11585,0.0,0.43,0,0.0,0
005010,16181,0.87,0.3,5675,7.13,350
000540,11208,1.35,0.26,2142,0.0,0
000545,0,0.0,0.0,0,0.0,0
003280,544,19.84,3.43,94,0.0,0
